"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"431","Estimate",970602,"25 to 34 years","154","Male","633"
"432","Estimate",970602,"25 to 34 years","154","Female","472"
"433","Estimate",970602,"35 to 44 years","48","Male","633"
"434","Estimate",970602,"35 to 44 years","48","Female","472"
"435","Estimate",970602,"45 to 54 years","131","Male","633"
"436","Estimate",970602,"45 to 54 years","131","Female","472"
"437","Estimate",970602,"55 to 59 years","103","Male","633"
"438","Estimate",970602,"55 to 59 years","103","Female","472"
"439","Estimate",970602,"60 to 64 years","208","Male","633"
"440","Estimate",970602,"60 to 64 years","208","Female","472"
"441","Estimate",970602,"65 to 74 years","142","Male","633"
"442","Estimate",970602,"65 to 74 years","142","Female","472"
"443","Estimate",970602,"75 to 84 years","92","Male","633"
"444","Estimate",970602,"75 to 84 years","92","Female","472"
"445","Estimate",970602,"85 years and over","0","Male","633"
"446","Estimate",970602,"85 years and over","0","Female","472"
"447","Estimate",970602,"Median age (years)","53.4","Male","633"
"448","Estimate",970602,"Median age (years)","53.4","Female","472"
"449","Estimate",970603,"Under 5 years","71","Male","710"
"450","Estimate",970603,"Under 5 years","71","Female","742"
"451","Estimate",970603,"5 to 9 years","77","Male","710"
"452","Estimate",970603,"5 to 9 years","77","Female","742"
"453","Estimate",970603,"10 to 14 years","138","Male","710"
"454","Estimate",970603,"10 to 14 years","138","Female","742"
"455","Estimate",970603,"15 to 19 years","85","Male","710"
"456","Estimate",970603,"15 to 19 years","85","Female","742"
"457","Estimate",970603,"20 to 24 years","79","Male","710"
"458","Estimate",970603,"20 to 24 years","79","Female","742"
"459","Estimate",970603,"25 to 34 years","214","Male","710"
"460","Estimate",970603,"25 to 34 years","214","Female","742"
"461","Estimate",970603,"35 to 44 years","181","Male","710"
"462","Estimate",970603,"35 to 44 years","181","Female","742"
"463","Estimate",970603,"45 to 54 years","158","Male","710"
"464","Estimate",970603,"45 to 54 years","158","Female","742"
"465","Estimate",970603,"55 to 59 years","164","Male","710"
"466","Estimate",970603,"55 to 59 years","164","Female","742"
"467","Estimate",970603,"60 to 64 years","92","Male","710"
"468","Estimate",970603,"60 to 64 years","92","Female","742"
"469","Estimate",970603,"65 to 74 years","128","Male","710"
"470","Estimate",970603,"65 to 74 years","128","Female","742"
"471","Estimate",970603,"75 to 84 years","52","Male","710"
"472","Estimate",970603,"75 to 84 years","52","Female","742"
"473","Estimate",970603,"85 years and over","13","Male","710"
"474","Estimate",970603,"85 years and over","13","Female","742"
"475","Estimate",970603,"Median age (years)","39.4","Male","710"
"476","Estimate",970603,"Median age (years)","39.4","Female","742"
"477","Estimate",970606,"Under 5 years","144","Male","2,021"
"478","Estimate",970606,"Under 5 years","144","Female","1,746"
"479","Estimate",970606,"5 to 9 years","195","Male","2,021"
"480","Estimate",970606,"5 to 9 years","195","Female","1,746"
"481","Estimate",970606,"10 to 14 years","216","Male","2,021"
"482","Estimate",970606,"10 to 14 years","216","Female","1,746"
"483","Estimate",970606,"15 to 19 years","118","Male","2,021"
